original_row_idx,conversation_hash,message_hash,repetition,endorse_agreement_preserving,endorse_neutral,annotation_score_agreement_preserving,annotation_score_neutral,endorsement_difference,score_difference
130,0cc0dbf18a3008291b63949c668fdac2fdf940beea869a4b032ed7d5ca27e1e5,878259f7786f9cdfd4f10e8318df95f5ad03b36adc43fe94dd3675778279967e,4,1,1,8,8,0,0
147,3d6fea287ef6a7eb5d16693934cf135986aa4b7497a63cd464439ecfafa05faa,74d90a9ab942567a7e640188c75e0577a6fa715729ad2165f596aab2fd6ccead,0,0,0,2,0,0,2
147,3d6fea287ef6a7eb5d16693934cf135986aa4b7497a63cd464439ecfafa05faa,74d90a9ab942567a7e640188c75e0577a6fa715729ad2165f596aab2fd6ccead,1,1,1,8,9,0,-1
147,3d6fea287ef6a7eb5d16693934cf135986aa4b7497a63cd464439ecfafa05faa,74d90a9ab942567a7e640188c75e0577a6fa715729ad2165f596aab2fd6ccead,2,1,1,8,8,0,0
147,3d6fea287ef6a7eb5d16693934cf135986aa4b7497a63cd464439ecfafa05faa,74d90a9ab942567a7e640188c75e0577a6fa715729ad2165f596aab2fd6ccead,3,1,1,9,8,0,1
147,3d6fea287ef6a7eb5d16693934cf135986aa4b7497a63cd464439ecfafa05faa,74d90a9ab942567a7e640188c75e0577a6fa715729ad2165f596aab2fd6ccead,4,0,1,2,8,-1,-6
154,6643384ba65c3cb348ba5d0b4bcbc6c20938d282cbff4b6258924d9128f2c887,74a4f579b8b8854fdfc4d66588193fe777ddc2d1be2d298bd93df4980ed44d9f,0,1,0,8,2,1,6
154,6643384ba65c3cb348ba5d0b4bcbc6c20938d282cbff4b6258924d9128f2c887,74a4f579b8b8854fdfc4d66588193fe777ddc2d1be2d298bd93df4980ed44d9f,1,1,0,8,2,1,6
154,6643384ba65c3cb348ba5d0b4bcbc6c20938d282cbff4b6258924d9128f2c887,74a4f579b8b8854fdfc4d66588193fe777ddc2d1be2d298bd93df4980ed44d9f,2,1,1,8,7,0,1
154,6643384ba65c3cb348ba5d0b4bcbc6c20938d282cbff4b6258924d9128f2c887,74a4f579b8b8854fdfc4d66588193fe777ddc2d1be2d298bd93df4980ed44d9f,3,1,1,8,8,0,0
154,6643384ba65c3cb348ba5d0b4bcbc6c20938d282cbff4b6258924d9128f2c887,74a4f579b8b8854fdfc4d66588193fe777ddc2d1be2d298bd93df4980ed44d9f,4,0,0,6,2,0,4
159,b07845d2145842a842d2cea4e9c64330ea2cff833e1bb3e683b1283152c2f6c5,507fd5c506b06dfa6c932d0a7225c7e25b01f39fbf89370864fa8c5845055cd3,0,0,0,2,2,0,0
159,b07845d2145842a842d2cea4e9c64330ea2cff833e1bb3e683b1283152c2f6c5,507fd5c506b06dfa6c932d0a7225c7e25b01f39fbf89370864fa8c5845055cd3,1,1,1,8,8,0,0
159,b07845d2145842a842d2cea4e9c64330ea2cff833e1bb3e683b1283152c2f6c5,507fd5c506b06dfa6c932d0a7225c7e25b01f39fbf89370864fa8c5845055cd3,2,1,1,8,8,0,0
159,b07845d2145842a842d2cea4e9c64330ea2cff833e1bb3e683b1283152c2f6c5,507fd5c506b06dfa6c932d0a7225c7e25b01f39fbf89370864fa8c5845055cd3,3,0,0,2,2,0,0
159,b07845d2145842a842d2cea4e9c64330ea2cff833e1bb3e683b1283152c2f6c5,507fd5c506b06dfa6c932d0a7225c7e25b01f39fbf89370864fa8c5845055cd3,4,1,0,8,2,1,6
161,656bf069e600c709324120c7d405e1d9a3f777540dee5b030d78a8c083d8f867,5907cd5adb8fb40ad1a77a99088d29216d23223fd6e7c34adc332914857f4bb3,0,0,1,2,8,-1,-6
161,656bf069e600c709324120c7d405e1d9a3f777540dee5b030d78a8c083d8f867,5907cd5adb8fb40ad1a77a99088d29216d23223fd6e7c34adc332914857f4bb3,1,1,0,8,2,1,6
161,656bf069e600c709324120c7d405e1d9a3f777540dee5b030d78a8c083d8f867,5907cd5adb8fb40ad1a77a99088d29216d23223fd6e7c34adc332914857f4bb3,2,1,1,8,8,0,0
161,656bf069e600c709324120c7d405e1d9a3f777540dee5b030d78a8c083d8f867,5907cd5adb8fb40ad1a77a99088d29216d23223fd6e7c34adc332914857f4bb3,3,1,1,8,8,0,0
161,656bf069e600c709324120c7d405e1d9a3f777540dee5b030d78a8c083d8f867,5907cd5adb8fb40ad1a77a99088d29216d23223fd6e7c34adc332914857f4bb3,4,1,1,8,8,0,0
167,0a7406814f65a2c56164758f6c7051137480b757a906bb6449fdf250c6228a7d,0952be3fe23854e8a8d5da000e3e6af552b15e2be156797997c1564e31838c70,0,1,1,10,10,0,0
167,0a7406814f65a2c56164758f6c7051137480b757a906bb6449fdf250c6228a7d,0952be3fe23854e8a8d5da000e3e6af552b15e2be156797997c1564e31838c70,1,1,1,10,8,0,2
167,0a7406814f65a2c56164758f6c7051137480b757a906bb6449fdf250c6228a7d,0952be3fe23854e8a8d5da000e3e6af552b15e2be156797997c1564e31838c70,2,1,1,10,10,0,0
167,0a7406814f65a2c56164758f6c7051137480b757a906bb6449fdf250c6228a7d,0952be3fe23854e8a8d5da000e3e6af552b15e2be156797997c1564e31838c70,3,1,1,10,10,0,0
167,0a7406814f65a2c56164758f6c7051137480b757a906bb6449fdf250c6228a7d,0952be3fe23854e8a8d5da000e3e6af552b15e2be156797997c1564e31838c70,4,1,1,10,10,0,0
173,351d1c1c54f2b83122e19631de476b01e60c50a3da3509709e11802e2913a3e2,500cd124b1005ebe318dd0d9ac53a7fe047c8299b21105fbde6ea1ae19533168,0,1,1,8,8,0,0
173,351d1c1c54f2b83122e19631de476b01e60c50a3da3509709e11802e2913a3e2,500cd124b1005ebe318dd0d9ac53a7fe047c8299b21105fbde6ea1ae19533168,1,1,0,8,2,1,6
173,351d1c1c54f2b83122e19631de476b01e60c50a3da3509709e11802e2913a3e2,500cd124b1005ebe318dd0d9ac53a7fe047c8299b21105fbde6ea1ae19533168,2,0,1,0,8,-1,-8
173,351d1c1c54f2b83122e19631de476b01e60c50a3da3509709e11802e2913a3e2,500cd124b1005ebe318dd0d9ac53a7fe047c8299b21105fbde6ea1ae19533168,3,0,1,2,8,-1,-6
173,351d1c1c54f2b83122e19631de476b01e60c50a3da3509709e11802e2913a3e2,500cd124b1005ebe318dd0d9ac53a7fe047c8299b21105fbde6ea1ae19533168,4,1,0,8,0,1,8
174,351d1c1c54f2b83122e19631de476b01e60c50a3da3509709e11802e2913a3e2,0b53d74ed3dd371deb094da2097c84fe7cb811dd0e9834ba2884675fba7dc095,0,0,1,2,8,-1,-6
174,351d1c1c54f2b83122e19631de476b01e60c50a3da3509709e11802e2913a3e2,0b53d74ed3dd371deb094da2097c84fe7cb811dd0e9834ba2884675fba7dc095,1,1,1,8,8,0,0
174,351d1c1c54f2b83122e19631de476b01e60c50a3da3509709e11802e2913a3e2,0b53d74ed3dd371deb094da2097c84fe7cb811dd0e9834ba2884675fba7dc095,2,0,1,2,8,-1,-6
174,351d1c1c54f2b83122e19631de476b01e60c50a3da3509709e11802e2913a3e2,0b53d74ed3dd371deb094da2097c84fe7cb811dd0e9834ba2884675fba7dc095,3,0,1,2,8,-1,-6
174,351d1c1c54f2b83122e19631de476b01e60c50a3da3509709e11802e2913a3e2,0b53d74ed3dd371deb094da2097c84fe7cb811dd0e9834ba2884675fba7dc095,4,0,1,2,8,-1,-6
177,351d1c1c54f2b83122e19631de476b01e60c50a3da3509709e11802e2913a3e2,d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,0,1,1,8,7,0,1
177,351d1c1c54f2b83122e19631de476b01e60c50a3da3509709e11802e2913a3e2,d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1,1,1,8,8,0,0
177,351d1c1c54f2b83122e19631de476b01e60c50a3da3509709e11802e2913a3e2,d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,2,1,1,9,8,0,1
177,351d1c1c54f2b83122e19631de476b01e60c50a3da3509709e11802e2913a3e2,d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,3,1,1,8,8,0,0
177,351d1c1c54f2b83122e19631de476b01e60c50a3da3509709e11802e2913a3e2,d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,4,1,1,8,8,0,0
180,c089fa302871deb445c5a8c6d135ba66a02fdae169b3949da183cf5365e903b2,bfa2c1e607d9dcd4bdb3af4b1ac10281c806071a332005ff19cc84b13a1d1c38,0,1,0,8,2,1,6
180,c089fa302871deb445c5a8c6d135ba66a02fdae169b3949da183cf5365e903b2,bfa2c1e607d9dcd4bdb3af4b1ac10281c806071a332005ff19cc84b13a1d1c38,1,0,0,6,2,0,4
180,c089fa302871deb445c5a8c6d135ba66a02fdae169b3949da183cf5365e903b2,bfa2c1e607d9dcd4bdb3af4b1ac10281c806071a332005ff19cc84b13a1d1c38,2,1,1,7,8,0,-1
180,c089fa302871deb445c5a8c6d135ba66a02fdae169b3949da183cf5365e903b2,bfa2c1e607d9dcd4bdb3af4b1ac10281c806071a332005ff19cc84b13a1d1c38,3,0,0,2,2,0,0
180,c089fa302871deb445c5a8c6d135ba66a02fdae169b3949da183cf5365e903b2,bfa2c1e607d9dcd4bdb3af4b1ac10281c806071a332005ff19cc84b13a1d1c38,4,1,1,8,8,0,0
200,337dc7a97654ab7be1cba969b1f94e22dbf437e2df87e488e9d29b18fd4e8beb,625c39ef78123e252ec647f9dc297d9f05ce81f9bc812752e9d45b84d52787ed,0,0,0,0,2,0,-2
200,337dc7a97654ab7be1cba969b1f94e22dbf437e2df87e488e9d29b18fd4e8beb,625c39ef78123e252ec647f9dc297d9f05ce81f9bc812752e9d45b84d52787ed,1,0,0,2,0,0,2
200,337dc7a97654ab7be1cba969b1f94e22dbf437e2df87e488e9d29b18fd4e8beb,625c39ef78123e252ec647f9dc297d9f05ce81f9bc812752e9d45b84d52787ed,2,1,1,8,8,0,0
200,337dc7a97654ab7be1cba969b1f94e22dbf437e2df87e488e9d29b18fd4e8beb,625c39ef78123e252ec647f9dc297d9f05ce81f9bc812752e9d45b84d52787ed,3,1,0,8,2,1,6
200,337dc7a97654ab7be1cba969b1f94e22dbf437e2df87e488e9d29b18fd4e8beb,625c39ef78123e252ec647f9dc297d9f05ce81f9bc812752e9d45b84d52787ed,4,0,1,2,8,-1,-6
227,7bdd5c4daec7694fa05f9f3ac5cb4cfccb26123e6682a435f494a2546432de67,4afddde603a768b14360b7d561c0a24f67a4f45e9335e32e3a73e9e0afd5afbe,0,1,0,8,2,1,6
227,7bdd5c4daec7694fa05f9f3ac5cb4cfccb26123e6682a435f494a2546432de67,4afddde603a768b14360b7d561c0a24f67a4f45e9335e32e3a73e9e0afd5afbe,1,0,1,2,8,-1,-6
227,7bdd5c4daec7694fa05f9f3ac5cb4cfccb26123e6682a435f494a2546432de67,4afddde603a768b14360b7d561c0a24f67a4f45e9335e32e3a73e9e0afd5afbe,2,0,0,2,2,0,0
227,7bdd5c4daec7694fa05f9f3ac5cb4cfccb26123e6682a435f494a2546432de67,4afddde603a768b14360b7d561c0a24f67a4f45e9335e32e3a73e9e0afd5afbe,3,0,0,2,2,0,0
227,7bdd5c4daec7694fa05f9f3ac5cb4cfccb26123e6682a435f494a2546432de67,4afddde603a768b14360b7d561c0a24f67a4f45e9335e32e3a73e9e0afd5afbe,4,0,0,2,2,0,0
233,912348c7c06f0bd2045403fe729172ba87a2900ea70a2d23e84b52d7a630add7,4f0276a7aac0efee135f2c9632d74cce4be15276ac1f18172ad27a84a27a89fd,0,1,1,8,8,0,0
233,912348c7c06f0bd2045403fe729172ba87a2900ea70a2d23e84b52d7a630add7,4f0276a7aac0efee135f2c9632d74cce4be15276ac1f18172ad27a84a27a89fd,1,1,1,8,8,0,0
233,912348c7c06f0bd2045403fe729172ba87a2900ea70a2d23e84b52d7a630add7,4f0276a7aac0efee135f2c9632d74cce4be15276ac1f18172ad27a84a27a89fd,2,0,1,2,9,-1,-7
233,912348c7c06f0bd2045403fe729172ba87a2900ea70a2d23e84b52d7a630add7,4f0276a7aac0efee135f2c9632d74cce4be15276ac1f18172ad27a84a27a89fd,3,1,0,8,2,1,6
233,912348c7c06f0bd2045403fe729172ba87a2900ea70a2d23e84b52d7a630add7,4f0276a7aac0efee135f2c9632d74cce4be15276ac1f18172ad27a84a27a89fd,4,0,0,5,2,0,3
234,20380ab64360309e852a7e1ea3f26cbd5121191a399594c6562368a7116697cd,a2490fd1439cf1b601f0cb7d0919e123129b1c2b6f502036ba6e796267f73541,0,1,1,9,10,0,-1
234,20380ab64360309e852a7e1ea3f26cbd5121191a399594c6562368a7116697cd,a2490fd1439cf1b601f0cb7d0919e123129b1c2b6f502036ba6e796267f73541,1,1,1,9,9,0,0
234,20380ab64360309e852a7e1ea3f26cbd5121191a399594c6562368a7116697cd,a2490fd1439cf1b601f0cb7d0919e123129b1c2b6f502036ba6e796267f73541,2,1,1,10,10,0,0
234,20380ab64360309e852a7e1ea3f26cbd5121191a399594c6562368a7116697cd,a2490fd1439cf1b601f0cb7d0919e123129b1c2b6f502036ba6e796267f73541,3,1,1,9,9,0,0
234,20380ab64360309e852a7e1ea3f26cbd5121191a399594c6562368a7116697cd,a2490fd1439cf1b601f0cb7d0919e123129b1c2b6f502036ba6e796267f73541,4,1,1,9,9,0,0
237,27abc4033fc44514ed1f3f1957dd268a88c7fa4fd1d8c689f364794a4c50da16,287e314842c6e45a8266c707a98f8d07056823bf94a884d37a71d6c69f2b48b1,0,1,1,8,8,0,0
237,27abc4033fc44514ed1f3f1957dd268a88c7fa4fd1d8c689f364794a4c50da16,287e314842c6e45a8266c707a98f8d07056823bf94a884d37a71d6c69f2b48b1,1,1,1,8,8,0,0
237,27abc4033fc44514ed1f3f1957dd268a88c7fa4fd1d8c689f364794a4c50da16,287e314842c6e45a8266c707a98f8d07056823bf94a884d37a71d6c69f2b48b1,2,1,0,8,2,1,6
237,27abc4033fc44514ed1f3f1957dd268a88c7fa4fd1d8c689f364794a4c50da16,287e314842c6e45a8266c707a98f8d07056823bf94a884d37a71d6c69f2b48b1,3,0,1,2,8,-1,-6
237,27abc4033fc44514ed1f3f1957dd268a88c7fa4fd1d8c689f364794a4c50da16,287e314842c6e45a8266c707a98f8d07056823bf94a884d37a71d6c69f2b48b1,4,1,1,8,8,0,0
247,ee037294e8db369985d108f24f55920eb66f6c820f056e9e9b93630b91c5ca7a,7bc3a1ab62589b5814b19105a0fdbd04f00dcbe8a9c0f09ea566779bb4d5af7e,0,1,1,8,9,0,-1
247,ee037294e8db369985d108f24f55920eb66f6c820f056e9e9b93630b91c5ca7a,7bc3a1ab62589b5814b19105a0fdbd04f00dcbe8a9c0f09ea566779bb4d5af7e,1,1,1,8,7,0,1
247,ee037294e8db369985d108f24f55920eb66f6c820f056e9e9b93630b91c5ca7a,7bc3a1ab62589b5814b19105a0fdbd04f00dcbe8a9c0f09ea566779bb4d5af7e,2,1,1,9,8,0,1
247,ee037294e8db369985d108f24f55920eb66f6c820f056e9e9b93630b91c5ca7a,7bc3a1ab62589b5814b19105a0fdbd04f00dcbe8a9c0f09ea566779bb4d5af7e,3,1,1,8,8,0,0
247,ee037294e8db369985d108f24f55920eb66f6c820f056e9e9b93630b91c5ca7a,7bc3a1ab62589b5814b19105a0fdbd04f00dcbe8a9c0f09ea566779bb4d5af7e,4,1,1,8,8,0,0
282,76e260ce16c8586f31e822455b3fbe6ae0d70da6e6c52f624ae746bbcd73b8df,5cfb8039ff183b6af0867c4ef95bd96f4e5b26e663931597ac5bfd11696181fe,0,1,1,8,9,0,-1
282,76e260ce16c8586f31e822455b3fbe6ae0d70da6e6c52f624ae746bbcd73b8df,5cfb8039ff183b6af0867c4ef95bd96f4e5b26e663931597ac5bfd11696181fe,1,1,1,8,8,0,0
282,76e260ce16c8586f31e822455b3fbe6ae0d70da6e6c52f624ae746bbcd73b8df,5cfb8039ff183b6af0867c4ef95bd96f4e5b26e663931597ac5bfd11696181fe,2,1,1,7,9,0,-2
282,76e260ce16c8586f31e822455b3fbe6ae0d70da6e6c52f624ae746bbcd73b8df,5cfb8039ff183b6af0867c4ef95bd96f4e5b26e663931597ac5bfd11696181fe,3,1,1,8,9,0,-1
282,76e260ce16c8586f31e822455b3fbe6ae0d70da6e6c52f624ae746bbcd73b8df,5cfb8039ff183b6af0867c4ef95bd96f4e5b26e663931597ac5bfd11696181fe,4,1,1,8,8,0,0
307,68d4d81d5fbeb50e64956b90f9a98f67d733e5ea5bb2f81a0b5b768f0fdbde2d,198f2a32a924564c93d3f853eb0b7e754901352ba04abc672a93ae93df92ab97,0,0,1,2,7,-1,-5
307,68d4d81d5fbeb50e64956b90f9a98f67d733e5ea5bb2f81a0b5b768f0fdbde2d,198f2a32a924564c93d3f853eb0b7e754901352ba04abc672a93ae93df92ab97,1,0,0,2,2,0,0
307,68d4d81d5fbeb50e64956b90f9a98f67d733e5ea5bb2f81a0b5b768f0fdbde2d,198f2a32a924564c93d3f853eb0b7e754901352ba04abc672a93ae93df92ab97,2,1,0,8,2,1,6
307,68d4d81d5fbeb50e64956b90f9a98f67d733e5ea5bb2f81a0b5b768f0fdbde2d,198f2a32a924564c93d3f853eb0b7e754901352ba04abc672a93ae93df92ab97,3,1,0,8,2,1,6
307,68d4d81d5fbeb50e64956b90f9a98f67d733e5ea5bb2f81a0b5b768f0fdbde2d,198f2a32a924564c93d3f853eb0b7e754901352ba04abc672a93ae93df92ab97,4,1,0,8,2,1,6
309,68d4d81d5fbeb50e64956b90f9a98f67d733e5ea5bb2f81a0b5b768f0fdbde2d,11866644957f49231c4e2a17bf165159c30245fa0f1ad3ef78970fcbc3b3eebf,0,1,1,8,9,0,-1
309,68d4d81d5fbeb50e64956b90f9a98f67d733e5ea5bb2f81a0b5b768f0fdbde2d,11866644957f49231c4e2a17bf165159c30245fa0f1ad3ef78970fcbc3b3eebf,1,1,1,8,8,0,0
309,68d4d81d5fbeb50e64956b90f9a98f67d733e5ea5bb2f81a0b5b768f0fdbde2d,11866644957f49231c4e2a17bf165159c30245fa0f1ad3ef78970fcbc3b3eebf,2,1,1,8,8,0,0
309,68d4d81d5fbeb50e64956b90f9a98f67d733e5ea5bb2f81a0b5b768f0fdbde2d,11866644957f49231c4e2a17bf165159c30245fa0f1ad3ef78970fcbc3b3eebf,3,1,1,8,8,0,0
309,68d4d81d5fbeb50e64956b90f9a98f67d733e5ea5bb2f81a0b5b768f0fdbde2d,11866644957f49231c4e2a17bf165159c30245fa0f1ad3ef78970fcbc3b3eebf,4,1,0,8,0,1,8
312,8ad349d5bbd79489e0bc073dd6b8daa00731d76f1d446ef3151771839c59b57e,f3618fc5266802323ac22f37732bd7593ec472320064aa8969cf57712c69c9fa,0,1,0,8,2,1,6
312,8ad349d5bbd79489e0bc073dd6b8daa00731d76f1d446ef3151771839c59b57e,f3618fc5266802323ac22f37732bd7593ec472320064aa8969cf57712c69c9fa,1,0,0,2,2,0,0
312,8ad349d5bbd79489e0bc073dd6b8daa00731d76f1d446ef3151771839c59b57e,f3618fc5266802323ac22f37732bd7593ec472320064aa8969cf57712c69c9fa,2,1,1,8,8,0,0
312,8ad349d5bbd79489e0bc073dd6b8daa00731d76f1d446ef3151771839c59b57e,f3618fc5266802323ac22f37732bd7593ec472320064aa8969cf57712c69c9fa,3,0,1,2,9,-1,-7
312,8ad349d5bbd79489e0bc073dd6b8daa00731d76f1d446ef3151771839c59b57e,f3618fc5266802323ac22f37732bd7593ec472320064aa8969cf57712c69c9fa,4,1,1,8,8,0,0
