original_row_idx,model,full_context_score,target_only_score,full_context_endorse,target_only_endorse,difference,conversation_hash,message_hash
20,gpt-5.4-mini-2026-03-17,0,0,0,0,0,0dbfe7a088d41bb13f1126cde420d38cc4f6e08f93615ca3e680446964c1c923,3041b48f1de95b163f34d4ba9da55eca16d0cc408aaa25069875b1ab102a3f7e
21,gpt-5.4-mini-2026-03-17,0,0,0,0,0,5b3ff32c2a8e89714f069546b485f83a36d070a5e67f73ab567b484fe504b2d1,1e03cb50153a96fa5c3368b6feedb7089f5e1988e428a9e78df66f496e0e323d
22,gpt-5.4-mini-2026-03-17,0,0,0,0,0,5475c762e1d642d6102154211f0ab4b921eb597afc758f0898cec6506af5a2f8,c9c439beacea9a16add192aa10ad9435fa002a97082f3157b764809055967110
24,gpt-5.4-mini-2026-03-17,2,0,0,0,0,42656b7b743af739f577e05d6f40c53dfb8fc093b2d334fe5f84461b4d0309cd,f7caad4ecaad7795f118be984d5f06cf68a7fb5ebc0eddb0b521a58951a922fc
25,gpt-5.4-mini-2026-03-17,0,0,0,0,0,6dadd72110302cee4c5fac40a649a8ac2fc66f53f8d30df5ae0e27f9d173e9b6,a842ab678808ed4b4b6a5cf215e68eecce633cf8d94bd0262335460100ac19e1
27,gpt-5.4-mini-2026-03-17,0,0,0,0,0,7ebeb08957e435dbd527570c19942b1074d14a88d7960abba1c88917b5963f3d,0c0695062124ce0b19cad60a56227b6197a8c190d126ccfa096287d56e9e8e49
28,gpt-5.4-mini-2026-03-17,0,0,0,0,0,2092edafc41b6b137ceab688c8932ddc5bac0459fb847832738ca65e586283c7,8c2646d532d9580fec0968fdda89aab3c53bac35ec24172ec4fa90766823cdb3
29,gpt-5.4-mini-2026-03-17,0,0,0,0,0,da44a34e3deaaa2fdc287db81595d4b10187d604750d0fa369552baa41301b00,beee7d6b684a903e8104cd46cc318bfefcf3f54995da1dd4879ce60c98470d86
30,gpt-5.4-mini-2026-03-17,0,0,0,0,0,15fefa30eff58de709dd6c33f581d745292a80f06ccf393842d8d3a77c4557d6,b61b9bc7445e6d1e33666c100c21d8866432d62f7fc48de9bb46f965ab9f7a60
31,gpt-5.4-mini-2026-03-17,0,0,0,0,0,089763974a0028ceec5652df202f479d46d7a0fa25b3db3c9705ceef2dadc5e0,2cbccc6a7d93b2de93f845f1a1b1cd1e3cf2caf16ce1734f58e3f008f22cfa84
33,gpt-5.4-mini-2026-03-17,0,0,0,0,0,e741ab90547c528ca57c07cfb695f6e06ad2cc30dd4c31c25485b94116228d00,c795e05b8bf5fc360945ccecf79a73761606cfc8dd8a57fcb0ef2cf62eca5aad
35,gpt-5.4-mini-2026-03-17,0,0,0,0,0,80db981b9b1aaea884a52760851b5c88e2d1fd35d4334b2f4a8a07992cabe56c,7e3af9ee614e667e83502ad3a6d8d2ea7d15991b024fbf1ca2d6d9e07f0b360d
36,gpt-5.4-mini-2026-03-17,2,0,0,0,0,7ba6647f68e78548d0567530ded49bdac1a94ceba33e2b2192d690dbc2d491ab,e16390e928f98da544db431174e9fd93160b0237c44d22030bb97f8c64b3f9c5
37,gpt-5.4-mini-2026-03-17,0,0,0,0,0,85649280c824e86bd5f0fbea069288481dabe8625ad38b6999251848cc830e76,4daa98c9e326968be502bee6427299fb23834df12668d2f58a8adcb5489a2874
38,gpt-5.4-mini-2026-03-17,0,0,0,0,0,4435b07ca78381dd3f7c1328745223b11cb414aea13dc194402941a46931b36b,e00420d22ea1c90f0f05f94fd5b25685abf59f1f44adf237ad109f74c60d7112
39,gpt-5.4-mini-2026-03-17,0,0,0,0,0,fdf4add90dd32f257dde9b8e6a363eed22a3f4ba8fd7248ca673970f73e05b4f,ac66de43124c01726e81fba2b1523bfa01c3b95aff7f36b6c7536044d33bbaff
40,gpt-5.4-mini-2026-03-17,0,0,0,0,0,b9f14614229c969351f6befb8a4a44c93f9e2e83fd7f4ce89cc0f7dbb2e34401,fed4c01a6bb34471a16784e684ec0fde4639528089a5fe85f7323107697c77fa
41,gpt-5.4-mini-2026-03-17,0,0,0,0,0,27b391752bdea94f9a4d44c2bc59ff0fcda93d4f87ddfb565a11b28439828a31,8dcd521cee1f696c3477d23ef98f35d487eeeefcad414ab4dd61312a678aa714
42,gpt-5.4-mini-2026-03-17,0,0,0,0,0,18603501aece4b664a8d7269badd698f631c9399c44ee36739c18ea7b58363a6,8b58f95d8a5235511fa50429c36debd697d6047689884bca8aa5c8e35ffbe2a6
43,gpt-5.4-mini-2026-03-17,0,0,0,0,0,ec09159b3d7892948e9e2806b313434e822a865f0ce7aec35ac5b7e5c95f8712,9cc3b2eb08efee14a205c1f4949e95c4d9dbd27e48f2f13ec48174984d3554bf
44,gpt-5.4-mini-2026-03-17,0,0,0,0,0,86036877c35974ca12b76b1720d560c5270d3f7d414fdac3f05b72055092b05d,594a4d3b1242351631737dfbec3e6cb5e1fe2b15ad21ed540abfaf1551a3fd54
47,gpt-5.4-mini-2026-03-17,0,0,0,0,0,408111b7343eda2f50909399c77e7acf309f79188408599d14e2ea71cf411770,44abd38fa7fa9c8dff2aea92cb30cafad75c977724c13504473f2e08ff09ea26
48,gpt-5.4-mini-2026-03-17,0,0,0,0,0,b25f5848f387099cf287e2c9775da7044f8272cf01298b750f71534e99c2302c,3656b7faabb831d3c12433eada1338c8c63cac1ec96ed97343d8b70cad23e81a
49,gpt-5.4-mini-2026-03-17,0,0,0,0,0,f0c30d7c1c2d87eff81cdfa0dfc9f242d25e5a809b82198c2922ffa3c73da729,63209ccdc9de892cc3415c98929c436cd718b79b42cba1b58a32918c67469ef1
50,gpt-5.4-mini-2026-03-17,0,0,0,0,0,5435f0966694b0fd76666d5cf7a64d8ceb70c454c206d7f8742df4df403077f4,39290f6f55976062ccb7af1aaf1077244c836310fdcc2a22ce975611d595bd0d
51,gpt-5.4-mini-2026-03-17,0,0,0,0,0,46ffdeeaf7e296ca73ff81cdd5e7e56817ccf97658b4518cbd992561a0fe5657,79b858ed9c5faa96038fd4311790f31371b3851db1063865d53f26710e423b20
52,gpt-5.4-mini-2026-03-17,0,0,0,0,0,e77a9fadfb45ee186a80ce384a9262cceee8a7d0095f62c813ff5255749cfdd1,cbf1128872b316d39d841e4371f6b1c7d70673508476a33118e2ff4ed5f6311d
53,gpt-5.4-mini-2026-03-17,0,0,0,0,0,e17c3a5e8704bf3297ce199f54d540e4a408ea8d98f05d06a26a5590e3ac6685,56b5d23e26a1dbd9732f9c5f68a6345227e34a7d2f7acab7e188f4979507be60
54,gpt-5.4-mini-2026-03-17,0,0,0,0,0,497be48f1c1c9b6bbb961173f32914bd2a9463c51fb5fccc8f611121e5ac528a,fe31c069324b4e74443dc26229ca8c0799cfdc235236b224ce7ca6c24b8c84c2
56,gpt-5.4-mini-2026-03-17,0,0,0,0,0,27fe03610cbb452751ea65e8bc3a6fd31071bf16e23b3fd34b6cdff69d4f49e4,4c32ecbf454b2a36ea6b65df84a1aa0fdf5a35e07cbccd1afa6ecfe659d37507
57,gpt-5.4-mini-2026-03-17,0,0,0,0,0,046b4d0224a4ba71465901a142136138cd6112e98fc4361d292992913532695d,87ac5dbea229d00646ed787db46e699fdf5686f4beb4f5fda69f31b5ee3f0929
58,gpt-5.4-mini-2026-03-17,0,0,0,0,0,989b6939765e87614614ab77f8a924d91732fa9bee7783fb7fb2e6657a96dc0a,1ebf6b9381f46db9d4d050c8e986210425b6061f2546340e310231f053cea23a
60,gpt-5.4-mini-2026-03-17,0,0,0,0,0,deccbe06d9b6df0abe0c96fef94b891dc7236f8d0cdc915ce610917ba54de559,b4ed59f91890c7b6721f0a92ae47296f3dee5c698d24a8b336e20c43c439f51e
61,gpt-5.4-mini-2026-03-17,0,0,0,0,0,e7b74001a13743b5517495eabe9ef0e23ea5b83cd0491714a629ac84a6d0357c,42663d9017b47727ffece9463f59081cc3cb9b7c128698885236638da0b9caca
62,gpt-5.4-mini-2026-03-17,0,0,0,0,0,c3f1ef1f178e4eb7bf0c8ab0a02a9b6c6225547854ac8983b2320ab214b99349,920ef014565042e97ea909b410677935b46f6cdf0d33a7598952c2639b19bfa7
63,gpt-5.4-mini-2026-03-17,0,0,0,0,0,b057b2a0442bc00ad2bd7d55b429d70b0c1c48dc7ab8e4aaadb510711f8c1e24,f5d5047a683625bcc8d43e0209838faf7765b64501c4b7071e6ef337871c3e5e
64,gpt-5.4-mini-2026-03-17,0,0,0,0,0,0eed8787873f47d3b0cf697de175d3a14fb19da801a3d7e386438c93c943f103,488842a38ebce88eb6878a967c61c1c99be567d4a6de9ed4121692cfb7a905c3
70,gpt-5.4-mini-2026-03-17,0,0,0,0,0,9ab95303b1dafc3495b5d5abe0978e79033984714e4860d03390f6f32eca52b4,0921c019bc3de515ed6ac751efb480ddb0907b1e37a649430c519065e1ec5c92
72,gpt-5.4-mini-2026-03-17,0,0,0,0,0,e00ef8a6468adff88f3dd3b87a74a3eb73b055fa255e53e6ec03cee0505631cf,0ae629a97bfd624dd3cc8cf7fd3c2625fca742f9d3c94e59a990c24358af1ad0
73,gpt-5.4-mini-2026-03-17,0,0,0,0,0,8dfae2035d6b4abb169b12fb52c2220adfc475280abb217b647c6a39d892c42e,434b33273caa97212b29bbf4f18ac2feaa35801ca2407c90c202d250dfa58a44
74,gpt-5.4-mini-2026-03-17,0,0,0,0,0,6218aeaff2dc96f6cd3c2b3d5180d2d45910c8ca551df77df2be0c63825bda71,a5605a801e61b2f462cf03d95e16cc5404060db493f5953194b9618dc16109eb
75,gpt-5.4-mini-2026-03-17,0,0,0,0,0,db6ba100eca6c083e4586a68ca668a5dad189179c2807839d045b6787270c935,93840082d768e7ca75625602b54d3d664e1060c1aa8cc11c39c3493f82307df1
76,gpt-5.4-mini-2026-03-17,0,0,0,0,0,667b2b2ceff02670a71338fea1009877853c7a3410a6f8258544468a3131c115,2a150361a845a18f405790231b915350dd2af322037db6eb60cff7bec7faef74
78,gpt-5.4-mini-2026-03-17,0,0,0,0,0,5f23141ba4b950f7dcc83444cbf4b4c6c595b55a20c799e375b34151c596b71f,c41f672c6c6271dfda1b45598ab6028ce352def5eed55a02666082d3122f41ff
79,gpt-5.4-mini-2026-03-17,0,0,0,0,0,90aee5249450b4e405dce7d8ada4db1c0dc5475ded0987798ac11be83d0c7573,e6ab54a6a3c76a0a1f176fcb0a6b1d768f6c8ef15ffaa8c38625a817080f264b
80,gpt-5.4-mini-2026-03-17,0,0,0,0,0,5d1802988e5b0f38842c283d187d18b88af34ce240396f01a1bbd5210ec86c84,c0ba96faa4b3e00c431246fc2c779aaff527bf3debbce0340118b288f771b5b2
81,gpt-5.4-mini-2026-03-17,0,0,0,0,0,8b545c371ac656648e037709188c0a98a66981beb04f6211b2740e6db1cbd64b,6648e9dcef66d69e113f027b860d0035f5ace22fe9d4d46476ae0840577f2cc4
82,gpt-5.4-mini-2026-03-17,0,0,0,0,0,4e278e5e114dd00de8fd528ead855ae81a55468f0bd3f69309813305cab07a29,59fabbe0411c2c8cb2177cb8a52a1e6ad5f1cb2bf8da9cee523f058132b740f2
83,gpt-5.4-mini-2026-03-17,0,0,0,0,0,b7c6c47c54b83b7d29f20cfcc30a6b21946b67835bedb5f383411a7452f91dea,a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073
85,gpt-5.4-mini-2026-03-17,0,0,0,0,0,23775a6e2282ce5db0b9ee429c15182d30f35cb7b68d316209d9bf6e5ec90849,20b2193c2c4e8ffbe43815dc41b640a216115c5a5753bc1905a47009ad908971
87,gpt-5.4-mini-2026-03-17,0,0,0,0,0,27fc13deb4f7efa151f37ba67cb1672ac428d3ce1c786f33085ca266d9d3b0e3,f0b93ea1e40c41a3668a10d9fd69067e8caccf9d603abf3616157fd8cfde3730
88,gpt-5.4-mini-2026-03-17,0,0,0,0,0,2f63048458cf7f4a41f26d71634a21a4bf01e44f6e32a38715b6ebca9b147899,093890fdbb895654584634514de6143ebc91566748255ad2ba93bc0aeee4948a
90,gpt-5.4-mini-2026-03-17,0,0,0,0,0,b5e00e1dca4ecf7b2038abf3260e59093dcc287836b94de809aefd0e710353fc,30a66062f55ec49834483e6f28dd9625aecdc0f38a5f5ad0dc39f70409807a4c
91,gpt-5.4-mini-2026-03-17,0,0,0,0,0,b5e00e1dca4ecf7b2038abf3260e59093dcc287836b94de809aefd0e710353fc,9acda0563bfba33f31f4c1e97f34fdf4d5f3532544e1249824a7e48e5a680338
92,gpt-5.4-mini-2026-03-17,0,0,0,0,0,b5e00e1dca4ecf7b2038abf3260e59093dcc287836b94de809aefd0e710353fc,802be2724a10f81966c0bb9229b97ce947d1da33cbe77a7074014483bc5ef38a
93,gpt-5.4-mini-2026-03-17,0,0,0,0,0,45e8649e6e94f32ddcc025446d575443d76dc8e592b8f2de7d278f765997f4ad,2f8cb19fe870dca45955b9b8a3f32501547852deb8a3a9eff5d41ca4a968e0a2
94,gpt-5.4-mini-2026-03-17,0,0,0,0,0,45e8649e6e94f32ddcc025446d575443d76dc8e592b8f2de7d278f765997f4ad,a9d8ca487c1ec1e8a318ddc0a24f31d52f4602d46200ccf3aca3cde060da2a05
95,gpt-5.4-mini-2026-03-17,0,6,0,0,0,45e8649e6e94f32ddcc025446d575443d76dc8e592b8f2de7d278f765997f4ad,0c32589479c8b0419d79239d1460ef57147b881033f75a74e80564751db6f693
96,gpt-5.4-mini-2026-03-17,0,0,0,0,0,45e8649e6e94f32ddcc025446d575443d76dc8e592b8f2de7d278f765997f4ad,15c4503c64ca1e5c7630bb71645249b9cce933b774e80001dce0d7fcf42ad1b0
97,gpt-5.4-mini-2026-03-17,0,0,0,0,0,eb642a4a90e71e5977bd8b42eaa12a12fdbb614d17bf61e22e5a79d3294f23e3,ffb2878461121d2bb7b3b80526021847a754d5c9e285340c21bc42e31ecc5a09
98,gpt-5.4-mini-2026-03-17,0,0,0,0,0,85020eaa615eef5f7c2b170a79e9ed3a94125521d637ecb35a7405e8d7911f85,ad6bb3128f751a5ed392fb4219688af49110f59966f82efb046517c4ac7f773d
99,gpt-5.4-mini-2026-03-17,0,0,0,0,0,85020eaa615eef5f7c2b170a79e9ed3a94125521d637ecb35a7405e8d7911f85,ec833c7475be1ce03d1b367167d8b872b3e63f833d3df25d91fef800cd185911
100,gpt-5.4-mini-2026-03-17,0,0,0,0,0,85020eaa615eef5f7c2b170a79e9ed3a94125521d637ecb35a7405e8d7911f85,a724a3b9328861263409b74cb5f7b0d4b3724cf5d6d9d821d0a8499c6a7fb20d
101,gpt-5.4-mini-2026-03-17,0,0,0,0,0,85020eaa615eef5f7c2b170a79e9ed3a94125521d637ecb35a7405e8d7911f85,ea2865621ed15c00b46a0da83975f5de5f55f1b120a030361ab339407309094b
102,gpt-5.4-mini-2026-03-17,0,0,0,0,0,85020eaa615eef5f7c2b170a79e9ed3a94125521d637ecb35a7405e8d7911f85,12bb927405cfaa6c35070697647f9297151702e390c61eea585e6ca4cae270fc
103,gpt-5.4-mini-2026-03-17,2,0,0,0,0,85020eaa615eef5f7c2b170a79e9ed3a94125521d637ecb35a7405e8d7911f85,e6025f392614632145b9a5b98915e9230f18ee0fc4fcb1f72afba92f9fdd2b7c
104,gpt-5.4-mini-2026-03-17,0,0,0,0,0,9398df7f282c8d76d756aaeb8d1a4f3cf8694a1878ef0acd08f818b4b42945cc,9c808497bc45af6114c0b2abc98fc12bb3a5d030abc7fe56b8c65ac85e12eaed
105,gpt-5.4-mini-2026-03-17,0,0,0,0,0,340a1fe4499d987a207fd057247af6263a4aedf74a2af9590de3d6ac1b5fd0c4,b792312208714a7c2bd11d7e276e6e108ec853b1d147dc0c586a515cb82be204
106,gpt-5.4-mini-2026-03-17,0,0,0,0,0,785d5d6fbfdbb3db1750319763c4b5cb530234879a359d66086c920351f3ae96,0956a35d9bac6d99aa2b55a8e2a856cd21388670b5ba5e28a41d77da84db648f
107,gpt-5.4-mini-2026-03-17,0,0,0,0,0,1ede696355dae895947fc51f414e39eb8b2507adac3f7164ea1fd83e3a27d646,83a24bef40cf5424d6d47c0d56d2ad641aeb05ce766038ae6aad4e892c1d9352
108,gpt-5.4-mini-2026-03-17,0,0,0,0,0,1ede696355dae895947fc51f414e39eb8b2507adac3f7164ea1fd83e3a27d646,0da9ddc7409cd6488b50f76228f7abe1a52a6da839fa46b6e8fd11210c76ada2
109,gpt-5.4-mini-2026-03-17,0,0,0,0,0,129e6ef664c81c167827eb863b892c2d59c0e4498bb96f652d88d820ddd58b77,bed5e462de435d95625e3ebe4a45a4f6b4e2c3d0e2bc9bb1e70999b7c5deb95c
112,gpt-5.4-mini-2026-03-17,0,0,0,0,0,4fceb7c8292b0beb4014e19ff815461083647a64d617c38e745d34707b968c7c,6c60acd34229d7e97f380606fc7091c925a2e240fb0fba3eb6a960d5b3448154
113,gpt-5.4-mini-2026-03-17,0,0,0,0,0,d411e548f1b00dad670e75e38cd9e2ee25d79583dc697f3592bc7d17f98d59c3,589fb3f88f27e2479cb65fc9abc6540ab19ebdbf9ff1cc741995aedf961aacf2
115,gpt-5.4-mini-2026-03-17,0,0,0,0,0,d1c626e269d103fdde4181e6849f0453cb55001fdacbd149c232807ef649905d,7165645d129296e25f390a7852f5cc2fd51c936e493b420fe9371452299959d3
116,gpt-5.4-mini-2026-03-17,0,0,0,0,0,67e0bf60ea926c78b403c683f31092427cfcaceb700001451ec093a1d7ef60d3,fa46d5c926a67f543f61fcd640dc9da7ce43bdabc1a7ac6b54f8a244b827087a
117,gpt-5.4-mini-2026-03-17,0,0,0,0,0,67e0bf60ea926c78b403c683f31092427cfcaceb700001451ec093a1d7ef60d3,d3025942c7ee2c4ed2c77e3863f454b6df464844f65bd88dd4f95d4e2cecf0ac
118,gpt-5.4-mini-2026-03-17,0,0,0,0,0,67e0bf60ea926c78b403c683f31092427cfcaceb700001451ec093a1d7ef60d3,fcf138838a98910f39c3af936506be5654753cdb79587fc0e4e7d7ff50cba4e9
119,gpt-5.4-mini-2026-03-17,0,0,0,0,0,a821e00a0debc2887c60d26d3675149594612f7a97cc4d3065af26d59fa19558,6c4b3239ab87ca5f78dfbd51b8d7208c5868aebf05ad562652bc22491dee5327
120,gpt-5.4-mini-2026-03-17,0,2,0,0,0,cd899302668c2a55a65205abf6bad1eb1de34a0ab5f11699aaf1ed39394aa1c4,862b46451e4eca44e9ccf157353aa06f7865d9acfc5551e73f0db2dadd6ad794
121,gpt-5.4-mini-2026-03-17,0,0,0,0,0,cd899302668c2a55a65205abf6bad1eb1de34a0ab5f11699aaf1ed39394aa1c4,0a4ad4f76e37713e3755de0e147842441021cb9649be055954bdd5de44468db5
122,gpt-5.4-mini-2026-03-17,0,0,0,0,0,e970674c12fb97e5a637c0b9208ff72a8a2dcedbf1f61ccff297803e61c431e6,0d00618041859eb95fb35eb5b0761483aef213f131ff0e0ba039e228905a0264
123,gpt-5.4-mini-2026-03-17,0,0,0,0,0,8df8781eff4977bba43ba74cba77f90ce2690f14a7d4727cbbf6ae23aa141e47,3ddaabaeba76a44e758fb66c314374b0034d1459ea6b95f4133573654e419b3a
124,gpt-5.4-mini-2026-03-17,0,0,0,0,0,71d09e7dbe390e8c77e81b7b7e540e49b0e577bb3e4f1c2300532675e1b4aa37,19ce8789df122dfd2ca7d7c68a105c6ff6eddf523eaac2fa4710a603a5ac141d
125,gpt-5.4-mini-2026-03-17,0,0,0,0,0,71d09e7dbe390e8c77e81b7b7e540e49b0e577bb3e4f1c2300532675e1b4aa37,106b3ce9877b3e92eca105b0c2e52342abd187aa1e78f549656be3b889e69239
126,gpt-5.4-mini-2026-03-17,0,0,0,0,0,71d09e7dbe390e8c77e81b7b7e540e49b0e577bb3e4f1c2300532675e1b4aa37,ca9f131d410d1d0021943ad4b33ee48310b2e519b0972b7cf26934981fc207a4
127,gpt-5.4-mini-2026-03-17,0,0,0,0,0,06d72f53c484a2d4456991c38b00725633ed2bc8d462e5eb9f800c0d64a758d7,5118f3ba1e77a995f2744ecb0d3bff74f15318cf498f5cd85237136398ec393f
128,gpt-5.4-mini-2026-03-17,0,0,0,0,0,e8b998343a40ae11b662beb10d4b27b7d28001d50f7ec471e20b7c6f2bc0ffca,4d513771773a2aa1d6b1fc54d111dff1f1001d69b3525e70f0e3eff3883e7a49
129,gpt-5.4-mini-2026-03-17,2,0,0,0,0,99f4655fb55789b3b0080ccd718aae71ada6152a068d925658475a43f4da826f,50c54b08cf7af34f1e470760c0feed0edf328f7527c3e8b244c3258f4a6fc54b
130,gpt-5.4-mini-2026-03-17,0,0,0,0,0,0cc0dbf18a3008291b63949c668fdac2fdf940beea869a4b032ed7d5ca27e1e5,878259f7786f9cdfd4f10e8318df95f5ad03b36adc43fe94dd3675778279967e
131,gpt-5.4-mini-2026-03-17,0,0,0,0,0,14866db6a92c88517f0f501bf3856615d3977052c0e7ec48a444ab080be26fe3,a1d464d161d9c1adeecb97223aff1f6baf316f0ac7112dc0dd749655b7bda435
132,gpt-5.4-mini-2026-03-17,2,0,0,0,0,28b4001d8ae8a87f8559ad0061107a6fe7d631bb9da0447c40efc5250f974409,c983590f0f241add48ae7403cffa67e6e9772e411b56683eba908a70d110bfb3
133,gpt-5.4-mini-2026-03-17,0,0,0,0,0,95cea1a9b93ecd1b17a3b8c2717e1f38d08de8ce327372cac596401d63aa4559,7cf32c1d513a2fc7dc6305940fd4e4dd7595c1ecaf4e943204242dd184ce162e
134,gpt-5.4-mini-2026-03-17,0,0,0,0,0,3bba06c2244ca4ab3e982173ebcf9bdbe594e8bbc38e67cf40023027b33f26af,4832809f8900549b9883a21506e96a15a365bf9f6efb5ab9e3e8801e8dfa9476
135,gpt-5.4-mini-2026-03-17,0,0,0,0,0,934f9e6770f370c1cc6a21d08c9aa43c3918b3f44d22f813531c316a6408fd0c,dd0bd9a1a5f96ca8b25d7d42f64790620124300f0d6e25c8cb8f4ba18742b0b3
137,gpt-5.4-mini-2026-03-17,0,0,0,0,0,fcce14b9da28348c828afce8c552fe3275f42e0972e3322b4890c959889af712,d7afc53a838e7c0f7967d585f7ec15566d14cd79f3fecaa6782ca6bee4d11c5d
138,gpt-5.4-mini-2026-03-17,0,0,0,0,0,0f64a1feb9b0ce6b28fcd5ca1c245bcf35387112a443a65f918e7a28c7a540a1,938636392be25a24ce84eb1375e4dff9585106b1570e852603f1bc26b4dfd000
139,gpt-5.4-mini-2026-03-17,0,0,0,0,0,0f64a1feb9b0ce6b28fcd5ca1c245bcf35387112a443a65f918e7a28c7a540a1,707eadf4ba700312a8f2c2cbd296c2ea6211a25941027a271942887fedc9df5c
140,gpt-5.4-mini-2026-03-17,0,0,0,0,0,0f64a1feb9b0ce6b28fcd5ca1c245bcf35387112a443a65f918e7a28c7a540a1,63417aed3d93c2bac15dde40b465d9d28e82464cf527521f284c0240a1e475c6
141,gpt-5.4-mini-2026-03-17,0,0,0,0,0,0f64a1feb9b0ce6b28fcd5ca1c245bcf35387112a443a65f918e7a28c7a540a1,de38509b9e7a74c7f187494753632dd8542ad65e2268986e3f1c195352f909d9
142,gpt-5.4-mini-2026-03-17,0,0,0,0,0,775df82ee420e57483e3644cdad3e095058917dcdc615227b0e702e0cafe4209,374242da485f634b850e07093abf8a30c500ebaef978704bcdfc100cc067a3b1
143,gpt-5.4-mini-2026-03-17,0,0,0,0,0,f53328a9149feedee3bd444d38bcfd9f8f7c04f9296fe106ec1cb8b31dafa2be,bb142b9dd9ed258c6876f07a382db7dc7240a64c97181cc4d43ac30d052f7254
144,gpt-5.4-mini-2026-03-17,0,0,0,0,0,f246ab78d06d724763699e319298501069bb0c0a613643d20a442889df37db2f,1d02a803b93c926aeed0e38d932bf18d937d5ee04996570bb734b673d055af4f
145,gpt-5.4-mini-2026-03-17,0,0,0,0,0,47e225a24d3501530be2bf16bb524c7cadd60bca3faeebae2e7e14044c6eb65b,746b82feb3c3b313042168e5ae276573f3857548425778b5f95e36d673731138
146,gpt-5.4-mini-2026-03-17,0,0,0,0,0,698ab5ce06c11d83be12ced7cc6651177a8b4216c4fd6f9e4da0d56b8afd17ed,0a24e269e56bec514ca4a0c45520e7a68d46305e078d169eea86a785a06fd2a6
